а	I <i>союз</i> 1. <i>(при противопоставлении, добавлении)</i> <b><span style="color:#569cd6;font-weight:bold;">ប៉ុន្តែ</span>, <span style="color:#4ec9b0;font-weight:bold;">តែ</span>, <span style="color:#c586c0;font-weight:bold;">ហើយ</span>, <span style="color:#dcdcaa;font-weight:bold;">រួច</span>, <span style="color:#ce9178;font-weight:bold;">ក៏</span></b>; он говорил, а я слушал <b><span style="color:#569cd6;font-weight:bold;">គាត់</span> <span style="color:#4ec9b0;font-weight:bold;">បាន</span> <span style="color:#c586c0;font-weight:bold;">និយាយ</span> <span style="color:#dcdcaa;font-weight:bold;">ហើយ</span> <span style="color:#ce9178;font-weight:bold;">ខ្ញុំ</span><span style="color:#569cd6;font-weight:bold;">ក៏</span> <span style="color:#4ec9b0;font-weight:bold;">បាន</span> <span style="color:#c586c0;font-weight:bold;">ស្ដាប់</span></b>; мы поедем не сегодня, а завтра <b><span style="color:#dcdcaa;font-weight:bold;">យើង</span> <span style="color:#ce9178;font-weight:bold;">មិន</span><span style="color:#569cd6;font-weight:bold;">ចេញទៅ</span><span style="color:#4ec9b0;font-weight:bold;">ថ្ងៃនេះ</span><span style="color:#c586c0;font-weight:bold;">ទេ</span> <span style="color:#dcdcaa;font-weight:bold;">តែ</span><span style="color:#ce9178;font-weight:bold;">ថ្ងៃស្អែក</span></b>; он ещё студент, а не инженер <b><span style="color:#569cd6;font-weight:bold;">គាត់</span> <span style="color:#4ec9b0;font-weight:bold;">នៅ</span> <span style="color:#c586c0;font-weight:bold;">ជា</span><span style="color:#dcdcaa;font-weight:bold;">និស្សិត</span> <span style="color:#ce9178;font-weight:bold;">នៅ</span> <span style="color:#569cd6;font-weight:bold;">ឡើយ</span> <span style="color:#4ec9b0;font-weight:bold;">ហើយ</span><span style="color:#c586c0;font-weight:bold;">មិនមែន</span> <span style="color:#dcdcaa;font-weight:bold;">ជា</span> <span style="color:#ce9178;font-weight:bold;">វិស្វករ</span> <span style="color:#569cd6;font-weight:bold;">ទេ</span></b>; сначала мы пообедаем, а потом пойдём гулять <b><span style="color:#4ec9b0;font-weight:bold;">មុនដំបូង</span> <span style="color:#c586c0;font-weight:bold;">យើង</span> <span style="color:#dcdcaa;font-weight:bold;">ហូបបាយ</span><span style="color:#ce9178;font-weight:bold;">ថ្ងៃ</span> <span style="color:#569cd6;font-weight:bold;">ត្រង់</span> <span style="color:#4ec9b0;font-weight:bold;">សិន</span> <span style="color:#c586c0;font-weight:bold;">រួច</span> <span style="color:#dcdcaa;font-weight:bold;">សឹម</span> <span style="color:#ce9178;font-weight:bold;">យើង</span> <span style="color:#569cd6;font-weight:bold;">ទៅដើរ</span><span style="color:#4ec9b0;font-weight:bold;">លេង</span></b> 2. <i>(при восклицании или вопросе)</i> <b><span style="color:#c586c0;font-weight:bold;">តែ</span>, <span style="color:#dcdcaa;font-weight:bold;">ចុះ</span>, <span style="color:#ce9178;font-weight:bold;">ឃើញ</span><span style="color:#569cd6;font-weight:bold;">ទេ</span></b>; а я сам это видел! <b><span style="color:#4ec9b0;font-weight:bold;">តែ</span><span style="color:#c586c0;font-weight:bold;">ខ្ញុំ</span> <span style="color:#dcdcaa;font-weight:bold;">បាន</span> <span style="color:#ce9178;font-weight:bold;">ឃើញ</span><span style="color:#569cd6;font-weight:bold;">របស់</span><span style="color:#4ec9b0;font-weight:bold;">នេះ</span><span style="color:#c586c0;font-weight:bold;">ខ្លួនឯង</span>!</b>; а вот и он пришёл! <b><span style="color:#dcdcaa;font-weight:bold;">ឃើញ</span><span style="color:#ce9178;font-weight:bold;">ទេ</span>! <span style="color:#569cd6;font-weight:bold;">ឥឡូវ</span><span style="color:#4ec9b0;font-weight:bold;">គាត់</span><span style="color:#c586c0;font-weight:bold;">មកដល់</span><span style="color:#dcdcaa;font-weight:bold;">ហើយ</span></b>; а как вас зовут? <b><span style="color:#ce9178;font-weight:bold;">ចុះ</span><span style="color:#569cd6;font-weight:bold;">អ្នក</span><span style="color:#4ec9b0;font-weight:bold;">ឈ្មោះ</span><span style="color:#c586c0;font-weight:bold;">អ្វី</span>?</b> ◇ <b>а</b> [не] <b>то</b> <i>(иначе)</i> <b><span style="color:#dcdcaa;font-weight:bold;">បើ</span><span style="color:#ce9178;font-weight:bold;">មិន</span><span style="color:#569cd6;font-weight:bold;">អញ្ចឹង</span></b>; поспешите, а [не] то опоздаете <b><span style="color:#4ec9b0;font-weight:bold;">សូម</span><span style="color:#c586c0;font-weight:bold;">ប្រញាប់</span> <span style="color:#dcdcaa;font-weight:bold;">បើ</span><span style="color:#ce9178;font-weight:bold;">មិន</span><span style="color:#569cd6;font-weight:bold;">អញ្ចឹង</span> <span style="color:#4ec9b0;font-weight:bold;">អ្នក</span><span style="color:#c586c0;font-weight:bold;">នឹង</span><span style="color:#dcdcaa;font-weight:bold;">ទៅ</span> <span style="color:#ce9178;font-weight:bold;">មិនទាន់ពេល</span><span style="color:#569cd6;font-weight:bold;">ទេ</span></b>; <b>а то</b> <i>(потому что)</i> <b><span style="color:#4ec9b0;font-weight:bold;">ព្រោះ</span></b>, <b><span style="color:#c586c0;font-weight:bold;">ពីព្រោះ</span></b>; пора возвращаться домой, а то уже стемнело <b><span style="color:#dcdcaa;font-weight:bold;">ដល់ពេល</span><span style="color:#ce9178;font-weight:bold;">ត្រឡប់ទៅ</span><span style="color:#569cd6;font-weight:bold;">ផ្ទះ</span><span style="color:#4ec9b0;font-weight:bold;">វិញ</span> <span style="color:#c586c0;font-weight:bold;">ព្រោះ</span> <span style="color:#dcdcaa;font-weight:bold;">ឥឡូវ</span> <span style="color:#ce9178;font-weight:bold;">យប់</span> <span style="color:#569cd6;font-weight:bold;">ហើយ</span></b>; II <i>частица</i> <b><span style="color:#4ec9b0;font-weight:bold;">ឬទេ</span></b>; пойдём гулять, а? <b><span style="color:#c586c0;font-weight:bold;">យើង</span> <span style="color:#dcdcaa;font-weight:bold;">ចេញទៅ</span><span style="color:#ce9178;font-weight:bold;">ដើរលេង</span> <span style="color:#569cd6;font-weight:bold;">ឬទេ</span>?</b>; а? Что вы сказали? <b><span style="color:#4ec9b0;font-weight:bold;">ម៉េច</span>? <span style="color:#c586c0;font-weight:bold;">អ្នក</span> <span style="color:#dcdcaa;font-weight:bold;">បាន</span> <span style="color:#ce9178;font-weight:bold;">និយាយ</span><span style="color:#569cd6;font-weight:bold;">យ៉ាងម៉េច</span>?</b>
август	, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">ខែសីហា</span>, <span style="color:#4ec9b0;font-weight:bold;">សីហា</span></b>; я поеду отдыхать в августе <b><span style="color:#c586c0;font-weight:bold;">ខ្ញុំ</span><span style="color:#dcdcaa;font-weight:bold;">នឹង</span><span style="color:#ce9178;font-weight:bold;">ទៅ</span><span style="color:#569cd6;font-weight:bold;">សំរាក</span> <span style="color:#4ec9b0;font-weight:bold;">នៅ</span> <span style="color:#c586c0;font-weight:bold;">ខែ</span> <span style="color:#dcdcaa;font-weight:bold;">សីហា</span></b>
авиация	, -и <i>ж</i> <b><span style="color:#569cd6;font-weight:bold;">អាកាសចរណ៍</span></b>; военная авиация <b><span style="color:#4ec9b0;font-weight:bold;">អាកាសចរណ៍</span><span style="color:#c586c0;font-weight:bold;">យោធា</span></b>; самолёт гражданской авиации <b><span style="color:#dcdcaa;font-weight:bold;">អាកាសចរណ៍ស៊ីវិល</span></b>
автобус	, -а <i>м</i> <b> <span style="color:#569cd6;font-weight:bold;">អូតូប៊ូស</span> (<span style="color:#4ec9b0;font-weight:bold;">រថយន្តឈ្នួល</span>)</b>; остановка автобуса <b><span style="color:#c586c0;font-weight:bold;">ចំណត</span> <span style="color:#dcdcaa;font-weight:bold;">អូតូប៊ូស</span></b>; сесть в автобус <b><span style="color:#ce9178;font-weight:bold;">ជិះ</span> <span style="color:#569cd6;font-weight:bold;">អូតូប៊ូស</span>, <span style="color:#4ec9b0;font-weight:bold;">ឡើងជិះ</span> <span style="color:#c586c0;font-weight:bold;">អូតូប៊ូស</span></b>; ехать на (в) автобусе, ехать автобусом <b><span style="color:#dcdcaa;font-weight:bold;">ធ្វើដំណើរ</span><span style="color:#ce9178;font-weight:bold;">តាម</span> <span style="color:#569cd6;font-weight:bold;">អូតូប៊ូស</span>, <span style="color:#4ec9b0;font-weight:bold;">ជិះ</span> <span style="color:#c586c0;font-weight:bold;">អូតូប៊ូស</span></b>
автомат	, -а <i>м</i> 1. <b><span style="color:#569cd6;font-weight:bold;">អូតូម៉ាទិក</span>, <span style="color:#4ec9b0;font-weight:bold;">ស្វ័យប្រវត្តិ</span></b>; телефон-автомат <b><span style="color:#c586c0;font-weight:bold;">តេលេហ្វូន</span> <span style="color:#dcdcaa;font-weight:bold;">អូតូម៉ាទិក</span></b>; звонить из автомата <b><span style="color:#ce9178;font-weight:bold;">និយាយ</span> <span style="color:#569cd6;font-weight:bold;">តាម</span> <span style="color:#4ec9b0;font-weight:bold;">តេលេហ្វូន</span> <span style="color:#c586c0;font-weight:bold;">អូតូម៉ាទិក</span></b>; автомат по продаже билетов <b><span style="color:#dcdcaa;font-weight:bold;">ម៉ាស៊ីន</span> <span style="color:#ce9178;font-weight:bold;">អូតូម៉ាទិក</span> <span style="color:#569cd6;font-weight:bold;">សំរាប់</span> <span style="color:#4ec9b0;font-weight:bold;">លក់</span> <span style="color:#c586c0;font-weight:bold;">សំបុត្រ</span></b> 2. <b><span style="color:#dcdcaa;font-weight:bold;">កាំភ្លើងយន្ត</span>, <span style="color:#ce9178;font-weight:bold;">អាវុធស្វ័យប្រវត្តិ</span></b>; стрелять из автомата <b><span style="color:#569cd6;font-weight:bold;">បាញ់កាំភ្លើង</span><span style="color:#4ec9b0;font-weight:bold;">យន្ត</span></b>
автомобиль	, -я <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">រថយន្ត</span>, <span style="color:#4ec9b0;font-weight:bold;">ឡាន</span></b>; грузовой автомобиль <b><span style="color:#c586c0;font-weight:bold;">រថយន្ត</span><span style="color:#dcdcaa;font-weight:bold;">ទំនិញ</span>, <span style="color:#ce9178;font-weight:bold;">កាំម្ញ៉ុង</span></b>; ехать на автомобиле <b><span style="color:#569cd6;font-weight:bold;">ធ្វើដំណើរ</span><span style="color:#4ec9b0;font-weight:bold;">តាម</span><span style="color:#c586c0;font-weight:bold;">រថយន្ត</span></b>; управлять автомобилем <b><span style="color:#dcdcaa;font-weight:bold;">បើកបរ</span><span style="color:#ce9178;font-weight:bold;">រថយន្ត</span>, <span style="color:#569cd6;font-weight:bold;">បើកឡាន</span></b>
автор	, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">អ្នកនិពន្ធ</span>, <span style="color:#4ec9b0;font-weight:bold;">អ្នក</span><span style="color:#c586c0;font-weight:bold;">ប្រឌិត</span>, <span style="color:#dcdcaa;font-weight:bold;">អ្នក</span><span style="color:#ce9178;font-weight:bold;">តែងរឿង</span></b>; автор известного романа <b><span style="color:#569cd6;font-weight:bold;">អ្នកនិពន្ធ</span><span style="color:#4ec9b0;font-weight:bold;">ប្រលោមលោក</span><span style="color:#c586c0;font-weight:bold;">ដ៏</span><span style="color:#dcdcaa;font-weight:bold;">ល្បីល្បាញ</span></b>
авторитет	, -а <i>м</i> <b><span style="color:#569cd6;font-weight:bold;">កិត្យានុភាព</span>, <span style="color:#4ec9b0;font-weight:bold;">អំណាច</span>, <span style="color:#c586c0;font-weight:bold;">ឥទ្ធិពល</span></b>; пользоваться авторитетом <b><span style="color:#dcdcaa;font-weight:bold;">មាន</span><span style="color:#ce9178;font-weight:bold;">កិត្យានុភាព</span></b>; потерять авторитет <b><span style="color:#569cd6;font-weight:bold;">បាត់បង់</span><span style="color:#4ec9b0;font-weight:bold;">ឥទ្ធិពល</span>, <span style="color:#c586c0;font-weight:bold;">បាត់បង់</span><span style="color:#dcdcaa;font-weight:bold;">កិត្យានុភាព</span></b>
авторучка	, -и <i>ж</i> <b><span style="color:#569cd6;font-weight:bold;">ស្លាបប៉ាកកាបូម</span>, <span style="color:#4ec9b0;font-weight:bold;">ស្ទីឡូ</span></b>; купить авторучку <b><span style="color:#c586c0;font-weight:bold;">ទិញ</span> <span style="color:#dcdcaa;font-weight:bold;">ស្លាបប៉ាកកាបូម</span>, <span style="color:#ce9178;font-weight:bold;">ទិញ</span> <span style="color:#569cd6;font-weight:bold;">ស្ទីឡូ</span></b>; писать авторучкой <b><span style="color:#4ec9b0;font-weight:bold;">សរសេរ</span><span style="color:#c586c0;font-weight:bold;">នឹង</span> <span style="color:#dcdcaa;font-weight:bold;">ស្ទីឡូ</span></b>
агрессивный	, -ая, -ое, -ые <b><span style="color:#569cd6;font-weight:bold;">ឈ្លានពាន</span></b>; агрессивная политика империализма <b><span style="color:#4ec9b0;font-weight:bold;">នយោបាយ</span><span style="color:#c586c0;font-weight:bold;">ឈ្លានពាន</span><span style="color:#dcdcaa;font-weight:bold;">របស់</span><span style="color:#ce9178;font-weight:bold;">ចក្រពត្តិនិយម</span></b>
